"model_id","auc","logloss","aucpr","mean_per_class_error","rmse","mse"
"StackedEnsemble_AllModels_1_AutoML_1_20251111_210657",0.9890308514628656,0.12058085887596148,0.9770316862717996,0.05694328411648367,0.1882361507549609,0.03543284845104435
"GBM_3_AutoML_1_20251111_210657",0.988889978176362,0.13324279065058642,0.9762182593955716,0.059089630362135985,0.19554082680461127,0.038236214947430985
"GBM_4_AutoML_1_20251111_210657",0.9887422850030688,0.13289132481387783,0.976774617924688,0.05049039248448475,0.1959293429709345,0.03838830743702208
"StackedEnsemble_BestOfFamily_1_AutoML_1_20251111_210657",0.988673659892246,0.12448464164415685,0.9755457899191672,0.054017126440701085,0.19090131346514716,0.03644331148271837
"GBM_1_AutoML_1_20251111_210657",0.9882427282957102,0.12809357850687234,0.9759352185424208,0.05720371854327218,0.19232478127263947,0.03698882149156861
"GBM_2_AutoML_1_20251111_210657",0.988032377412535,0.13535715355098485,0.9748731342363364,0.05483061106185637,0.1975174369385337,0.039013137894767645
"GBM_grid_1_AutoML_1_20251111_210657_model_1",0.9869561140285072,0.13724693742870916,0.9728884221832058,0.06315406976744187,0.19910769095072803,0.03964387259573063
"GBM_5_AutoML_1_20251111_210657",0.9868280280297348,0.1397500413691767,0.9728303143806384,0.07097349621496284,0.19984523108298416,0.03993811638661134
"DRF_1_AutoML_1_20251111_210657",0.9864849024756188,0.1667186539977695,0.970835086605107,0.060716599604446565,0.21767980901541303,0.0473844992529867
"XRT_1_AutoML_1_20251111_210657",0.9863459472822752,0.16597200775883156,0.9691907813304595,0.060195730750869536,0.21607211112681535,0.04668715720679885
"DeepLearning_1_AutoML_1_20251111_210657",0.9679096620746096,0.21538361646536952,0.927555845683141,0.09190372877310238,0.251309702992843,0.06315656681835095
"GLM_1_AutoML_1_20251111_210657",0.9564339238218644,0.24351633745769177,0.9082205938817608,0.10533485644138307,0.26660123371330646,0.07107621781745704
